2025-12-21 02:43:43,431 - thread-128966404867776.prometheus_context_collector - INFO - Starting context retrieval for query: 
Issue: Pytest 6: Dynamically adding xfail marker in test no longer ignores failure

Description: <!--
Thanks for submitting an issue!

Here's a quick checklist for what to provide:
-->

## Description

With pytest 5.x, we can dynamically add an xfail to a test `request` object using `request.node.add_marker(mark)` (see example below). In 5.x this treated the failing test like a a test marked statically with an `xfail`. With 6.0.0rc0 it raises. 

## Versions

<details>

```
$ pip list
Package                       Version                         Location                                                      
----------------------------- ------------------------------- --------------------------------------------------------------
a                             1.0                             
Jinja2                        2.11.2                          
jinja2-time                   0.2.0                           
jmespath                      0.9.4                           
joblib                        0.14.1                          
json5                         0.9.4                           
jsondiff                      1.1.1                           
jsonpatch                     1.24                            
jsonpickle                    1.2                             
jsonpointer                   2.0                             
jsonschema                    3.0.2                           
jupyter                       1.0.0                           
jupyter-client                5.3.3                           
jupyter-console               6.0.0                           
jupyter-core                  4.5.0                           
jupyterlab                    2.1.2                           
jupyterlab-server             1.1.4                           
kiwisolver                    1.1.0                           
line-profiler                 2.1.1                           
llvmlite                      0.33.0                          
locket                        0.2.0                           /Users/taugspurger/sandbox/locket.py                          
lxml                          4.5.0                           
manhole                       1.6.0                           
Markdown                      3.1.1                           
MarkupSafe                    1.1.1                           
matplotlib                    3.2.2                           
mccabe                        0.6.1                           
memory-profiler               0.55.0                          
mistune                       0.8.4                           
mock                          3.0.5                           
more-itertools                7.2.0                           
moto                          1.3.6                           
msgpack                       0.6.2                           
multidict                     4.5.2                           
munch                         2.3.2                           
mypy                          0.730                           
mypy-extensions               0.4.1                           
nbconvert                     5.6.0                           
nbformat                      4.4.0                           
nbsphinx                      0.4.2                           
nest-asyncio                  1.3.3                           
nodeenv                       1.3.3                           
notebook                      6.0.1                           
numexpr                       2.7.1                           
numpy                         1.19.0                          
numpydoc                      1.0.0.dev0                      
oauthlib                      3.1.0                           
odfpy                         1.4.0                           
openpyxl                      3.0.3                           
packaging                     20.4                            
pandas                        1.1.0.dev0+1758.g035e1fe831     /Users/taugspurger/sandbox/pandas                             
pandas-sphinx-theme           0.0.1.dev0                      /Users/taugspurger/sandbox/pandas-sphinx-theme                
pandocfilters                 1.4.2                           
param                         1.9.2                           
parfive                       1.0.0                           
parso                         0.6.0                           
partd                         1.0.0                           
pathspec                      0.8.0                           
patsy                         0.5.1                           
pexpect                       4.7.0                           
pickleshare                   0.7.5                           
Pillow                        6.1.0                           
pip                           20.0.2                          
pluggy                        0.13.0                          
poyo                          0.5.0                           
pre-commit                    1.18.3                          
progressbar2                  3.51.3                          
prometheus-client             0.7.1                           
prompt-toolkit                2.0.9                           
psutil                        5.6.3                           
ptyprocess                    0.6.0                           
py                            1.9.0                           
pyaml                         20.4.0                          
pyarrow                       0.16.0                          
pyasn1                        0.4.7                           
pyasn1-modules                0.2.8                           
pycodestyle                   2.5.0                           
pycparser                     2.19                            
pycryptodome                  3.9.8                           
pyct                          0.4.6                           
pydata-sphinx-theme           0.1.1                           
pydeps                        1.9.0                           
pyflakes                      2.1.1                           
PyGithub                      1.44.1                          
Pygments                      2.4.2                           
PyJWT                         1.7.1                           
pyparsing                     2.4.2                           
pyproj                        2.4.0                           
pyrsistent                    0.15.4                          
pytest                        5.4.3                           
pytest-asyncio                0.10.0                          
pytest-cov                    2.8.1                           
pytest-cover                  3.0.0                           
pytest-forked                 1.0.2                           
pytest-repeat                 0.8.0                           
pytest-xdist                  1.29.0                          
python-boilerplate            0.1.0                           
python-dateutil               2.8.0                           
python-jose                   2.0.2                           
python-jsonrpc-server         0.3.2                           
python-language-server        0.31.4                          
python-slugify                4.0.1                           
python-utils                  2.4.0                           
pythreejs                     2.2.0                           
pytoml                        0.1.21                          
pytz                          2019.2                          
pyviz-comms                   0.7.2                           
PyYAML                        5.1.2                           
pyzmq                         18.1.0                          
qtconsole                     4.5.5                           
regex                         2020.6.8                        
requests                      2.24.0                          
requests-oauthlib             1.3.0                           
responses                     0.10.6                          
rsa                           4.0                             
rstcheck                      3.3.1                           
s3fs                          0.4.2                           
s3transfer                    0.1.13                          
scikit-learn                  0.22.2.post1                    
scipy                         1.3.1                           
seaborn                       0.9.0                           
Send2Trash                    1.5.0                           
setuptools                    49.2.0                          
Shapely                       1.6.4.post2                     
six                           1.12.0                          
smmap2                        2.0.5                           
snakeviz                      2.0.1                           
snowballstemmer               1.9.1                           
sortedcontainers              2.1.0                           
sparse                        0.10.0                          
Sphinx                        3.1.1                           
sphinxcontrib-applehelp       1.0.2                           
sphinxcontrib-devhelp         1.0.2                           
sphinxcontrib-htmlhelp        1.0.3                           
sphinxcontrib-jsmath          1.0.1                           
sphinxcontrib-qthelp          1.0.3                           
sphinxcontrib-serializinghtml 1.1.4                           
sphinxcontrib-websupport      1.1.2                           
sphinxcontrib.youtube         0.1.2                           
SQLAlchemy                    1.3.11                          
sshpubkeys                    3.1.0                           
statsmodels                   0.10.2                          
stdlib-list                   0.6.0                           
sunpy                         1.1.dev518+gcad2d473f.d20191103 /Users/taugspurger/sandbox/sunpy                              
tables                        3.6.1                           
tabulate                      0.8.6                           
tblib                         1.4.0                           
terminado                     0.8.2                           
test                          1.0.0                           
testpath                      0.4.2                           
text-unidecode                1.3                             
thrift                        0.13.0                          
toml                          0.10.0                          
toolz                         0.10.0                          
tornado                       6.0.3                           
tqdm                          4.37.0                          
traitlets                     4.3.2                           
traittypes                    0.2.1                           
typed-ast                     1.4.0                           
typing-extensions             3.7.4                           
ujson                         1.35                            
urllib3                       1.25.5                          
vaex                          3.0.0                           
vaex-arrow                    0.5.1                           
vaex-astro                    0.7.0                           
vaex-core                     2.0.2                           
vaex-hdf5                     0.6.0                           
vaex-jupyter                  0.5.1.post0                     
vaex-ml                       0.9.0                           
vaex-server                   0.3.1                           
vaex-viz                      0.4.0                           
virtualenv                    16.7.5                          
wcwidth                       0.1.7                           
webencodings                  0.5.1                           
websocket-client              0.56.0                          
Werkzeug                      0.16.0                          
wheel                         0.34.2                          
widgetsnbextension            3.5.1                           
wrapt                         1.11.2                          
xarray                        0.14.1+36.gb3d3b448             /Users/taugspurger/sandbox/xarray                             
xlwt                          1.3.0                           
xmltodict                     0.12.0                          
yarl                          1.3.0                           
zict                          1.0.0                           
zipp                          0.6.0                           
zope.interface                4.7.1                           
```

</details>

- [ ] pytest and operating system versions

Pytest 6.0.1rc0 and MacOS 10.14.5

```python
# file: test_foo.py
import pytest


def test_xfail_test(request):
    mark = pytest.mark.xfail(reason="xfail")
    request.node.add_marker(mark)
    assert 0
```

With 5.4.3

```

$ pytest -rsx test_foo.py
=============================================================================== test session starts ================================================================================
platform darwin -- Python 3.7.6, pytest-5.4.3, py-1.9.0, pluggy-0.13.0
hypothesis profile 'default' -> database=DirectoryBasedExampleDatabase('/Users/taugspurger/sandbox/.hypothesis/examples')
rootdir: /Users/taugspurger/sandbox
plugins: xdist-1.29.0, hypothesis-4.36.2, forked-1.0.2, repeat-0.8.0, asyncio-0.10.0, cov-2.8.1
collected 1 item

test_foo.py x                                                                                                                                                                [100%]

============================================================================= short test summary info ==============================================================================
XFAIL test_foo.py::test_xfail_test
  xfail
================================================================================ 1 xfailed in 0.07s ================================================================================
```

With 6.0.0rc0

```
$ pytest -rsx test_foo.py
=============================================================================== test session starts ================================================================================
platform darwin -- Python 3.7.6, pytest-6.0.0rc1, py-1.9.0, pluggy-0.13.0
hypothesis profile 'default' -> database=DirectoryBasedExampleDatabase('/Users/taugspurger/sandbox/.hypothesis/examples')
rootdir: /Users/taugspurger/sandbox
plugins: xdist-1.29.0, hypothesis-4.36.2, forked-1.0.2, repeat-0.8.0, asyncio-0.10.0, cov-2.8.1
collected 1 item

test_foo.py F                                                                                                                                                                [100%]

===================================================================================== FAILURES =====================================================================================
_________________________________________________________________________________ test_xfail_test __________________________________________________________________________________

request = <FixtureRequest for <Function test_xfail_test>>

    def test_xfail_test(request):
        mark = pytest.mark.xfail(reason="xfail")
        request.node.add_marker(mark)
>       assert 0
E       assert 0

test_foo.py:7: AssertionError
```


Patch information:
diff --git a/src/_pytest/skipping.py b/src/_pytest/skipping.py
index 335e10996..9f5783b75 100644
--- a/src/_pytest/skipping.py
+++ b/src/_pytest/skipping.py
@@ -239,9 +239,11 @@ def pytest_runtest_setup(item: Item) -> None:
         skip(skipped.reason)
 
     if not item.config.option.runxfail:
-        item._store[xfailed_key] = xfailed = evaluate_xfail_marks(item)
-        if xfailed and not xfailed.run:
-            xfail("[NOTRUN] " + xfailed.reason)
+        xfailed = evaluate_xfail_marks(item)
+        if xfailed:
+            item._store[xfailed_key] = xfailed
+            if not xfailed.run:
+                xfail("[NOTRUN] " + xfailed.reason)
 
 
 @hookimpl(hookwrapper=True)
@@ -276,21 +278,27 @@ def pytest_runtest_makereport(item: Item, call: CallInfo[None]):
         assert call.excinfo.value.msg is not None
         rep.wasxfail = "reason: " + call.excinfo.value.msg
         rep.outcome = "skipped"
-    elif not rep.skipped and xfailed:
-        if call.excinfo:
-            raises = xfailed.raises
-            if raises is not None and not isinstance(call.excinfo.value, raises):
-                rep.outcome = "failed"
-            else:
-                rep.outcome = "skipped"
-                rep.wasxfail = xfailed.reason
-        elif call.when == "call":
-            if xfailed.strict:
-                rep.outcome = "failed"
-                rep.longrepr = "[XPASS(strict)] " + xfailed.reason
-            else:
-                rep.outcome = "passed"
-                rep.wasxfail = xfailed.reason
+    else:
+        # Refresh xfail evaluation at report time to catch markers added during the call.
+        if xfailed is None and rep.when == "call":
+            xfailed = evaluate_xfail_marks(item)
+            if xfailed is not None:
+                item._store[xfailed_key] = xfailed
+        if not rep.skipped and xfailed:
+            if call.excinfo:
+                raises = xfailed.raises
+                if raises is not None and not isinstance(call.excinfo.value, raises):
+                    rep.outcome = "failed"
+                else:
+                    rep.outcome = "skipped"
+                    rep.wasxfail = xfailed.reason
+            elif call.when == "call":
+                if xfailed.strict:
+                    rep.outcome = "failed"
+                    rep.longrepr = "[XPASS(strict)] " + xfailed.reason
+                else:
+                    rep.outcome = "passed"
+                    rep.wasxfail = xfailed.reason
 
     if (
         item._store.get(skipped_by_mark_key, True)


Find all relevant source code context needed to understand and fix this issue.
Focus on production code (ignore test files) and follow these steps:
1. Identify key components mentioned in the issue, especially from the error message(functions, classes, types, etc.)
2. Find their complete implementations and class definitions
3. Include related code from the same module that affects the behavior
4. Follow imports to find dependent code that directly impacts the issue

--- END ORIGINAL QUERY ---



All aggregated context for the queries:
--- BEGIN AGGREGATED CONTEXT ---

--- END AGGREGATED CONTEXT ---

Analyze if the current context is sufficient to complete the user query by considering:
1. Do you understand the full scope and requirements of the user query?
2. Do you have access to all relevant code that needs to be examined or modified?
3. Are all critical dependencies and their interfaces visible?
4. Is there enough context about the system architecture and design patterns?
5. Do you have access to relevant documentation or tests if needed?

Only request additional context if essential information is missing. Ensure you're not requesting:
- Information already provided in previous queries
- Nice-to-have but non-essential details
- Implementation details that aren't relevant to the current task

If additional context is needed:
- Be specific about what you're looking for
- Consider both code and documentation that might be relevant

IMPORTANT:
- Try to avoid asking for the SAME or very similar information as previous queries, because these queries have already been asked and satisfied.

2025-12-21 02:44:03,953 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_refine_node - DEBUG - reasoning='The user has reported an issue with dynamically adding `xfail` markers in pytest and has provided a diff for `src/_pytest/skipping.py`. To understand the problem and the proposed solution, I need to analyze the full content of this file, as it contains the core logic for handling `xfail` markers, including the `pytest_runtest_setup` and `pytest_runtest_makereport` hooks mentioned in the diff.' query='Please provide the full content of src/_pytest/skipping.py.' extra_requirements='' purpose='This file is essential to understand how `xfail` markers are processed and why dynamic addition is failing in the newer version.'
2025-12-21 02:44:03,954 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.memory_retrieval_node - INFO - Retrieving contexts from memory for query: Please provide the full content of src/_pytest/skipping.py.
2025-12-21 02:44:03,954 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.memory_retrieval_node - ERROR - Failed to retrieve from memory: Athena memory client is not configured.
2025-12-21 02:44:03,955 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.reset_messages_node - DEBUG - Resetting context_provider_messages in state.
2025-12-21 02:44:03,955 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.add_context_refined_query_message_node - INFO - Creating context provider message from refined query
2025-12-21 02:44:03,956 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.add_context_refined_query_message_node - DEBUG - Query message: Essential query: Please provide the full content of src/_pytest/skipping.py.
Purpose: This file is essential to understand how `xfail` markers are processed and why dynamic addition is failing in the newer version.
2025-12-21 02:44:06,381 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_provider_node - DEBUG - content='I have retrieved the full content of `src/_pytest/skipping.py` to understand how `xfail` markers are processed. This will help in understanding why the dynamic addition of these markers might be failing in the newer version.' additional_kwargs={'function_call': {'name': 'read_file_with_knowledge_graph_data', 'arguments': '{"relative_path": "src/_pytest/skipping.py"}'}} response_metadata={'is_blocked': False, 'safety_ratings': [], 'usage_metadata': {'prompt_token_count': 2043, 'candidates_token_count': 70, 'total_token_count': 2230, 'prompt_tokens_details': [{'modality': 1, 'token_count': 2043}], 'candidates_tokens_details': [{'modality': 1, 'token_count': 70}], 'thoughts_token_count': 117, 'cached_content_token_count': 0, 'cache_tokens_details': []}, 'finish_reason': 'STOP', 'avg_logprobs': -0.08681131771632604, 'model_name': 'gemini-2.5-pro'} id='run--8d5a9f1c-3382-4403-8f1c-265628d03de8-0' tool_calls=[{'name': 'read_file_with_knowledge_graph_data', 'args': {'relative_path': 'src/_pytest/skipping.py'}, 'id': '4e5efdce-ce77-4bb1-bd0b-bbd4dd3daa87', 'type': 'tool_call'}] usage_metadata={'input_tokens': 2043, 'output_tokens': 70, 'total_tokens': 2230, 'input_token_details': {'cache_read': 0}, 'output_token_details': {'reasoning': 117}}
2025-12-21 02:44:41,698 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_provider_node - DEBUG - content='I have analyzed the `src/_pytest/skipping.py` file to understand the `xfail` marker processing. The `evaluate_xfail_marks` function is responsible for evaluating the `xfail` markers on a test item. The results of this evaluation are then cached within the `pytest_runtest_setup` hook. The final test report and outcome are determined in the `pytest_runtest_makereport` hook, which considers whether the test failed as expected, failed unexpectedly, or passed unexpectedly. The issue with dynamic `xfail` markers likely stems from the fact that they are evaluated and cached before the test runs, so any markers added after this point are not considered.' additional_kwargs={} response_metadata={'is_blocked': False, 'safety_ratings': [], 'usage_metadata': {'prompt_token_count': 6468, 'candidates_token_count': 144, 'total_token_count': 8036, 'cached_content_token_count': 5330, 'prompt_tokens_details': [{'modality': 1, 'token_count': 6468}], 'cache_tokens_details': [{'modality': 1, 'token_count': 5330}], 'candidates_tokens_details': [{'modality': 1, 'token_count': 144}], 'thoughts_token_count': 1424}, 'finish_reason': 'STOP', 'avg_logprobs': -0.9229904810587565, 'model_name': 'gemini-2.5-pro'} id='run--9f48992e-4c59-4900-a4f9-a157cac2c361-0' usage_metadata={'input_tokens': 6468, 'output_tokens': 144, 'total_tokens': 8036, 'input_token_details': {'cache_read': 5330}, 'output_token_details': {'reasoning': 1424}}
2025-12-21 02:44:41,699 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_extraction_node - DEBUG - This is the query you need to answer:

--- BEGIN QUERY ---
Please provide the full content of src/_pytest/skipping.py.
--- END QUERY ---



--- BEGIN PURPOSE ---
This file is essential to understand how `xfail` markers are processed and why dynamic addition is failing in the newer version.
--- END PURPOSE ---

The context or file content that you have seen so far (Some of the context may be IRRELEVANT to the query!!!):

--- BEGIN CONTEXT ---
File: src/_pytest/skipping.py
Line number range: 1 - 315
Content:
1. """ support for skip/xfail functions and markers. """
2. import os
3. import platform
4. import sys
5. import traceback
6. from typing import Generator
7. from typing import Optional
8. from typing import Tuple
9. 
10. import attr
11. 
12. from _pytest.compat import TYPE_CHECKING
13. from _pytest.config import Config
14. from _pytest.config import hookimpl
15. from _pytest.config.argparsing import Parser
16. from _pytest.mark.structures import Mark
17. from _pytest.nodes import Item
18. from _pytest.outcomes import fail
19. from _pytest.outcomes import skip
20. from _pytest.outcomes import xfail
21. from _pytest.reports import BaseReport
22. from _pytest.runner import CallInfo
23. from _pytest.store import StoreKey
24. 
25. if TYPE_CHECKING:
26.     from typing import Type
27. 
28. 
29. def pytest_addoption(parser: Parser) -> None:
30.     group = parser.getgroup("general")
31.     group.addoption(
32.         "--runxfail",
33.         action="store_true",
34.         dest="runxfail",
35.         default=False,
36.         help="report the results of xfail tests as if they were not marked",
37.     )
38. 
39.     parser.addini(
40.         "xfail_strict",
41.         "default for the strict parameter of xfail "
42.         "markers when not given explicitly (default: False)",
43.         default=False,
44.         type="bool",
45.     )
46. 
47. 
48. def pytest_configure(config: Config) -> None:
49.     if config.option.runxfail:
50.         # yay a hack
51.         import pytest
52. 
53.         old = pytest.xfail
54.         config._cleanup.append(lambda: setattr(pytest, "xfail", old))
55. 
56.         def nop(*args, **kwargs):
57.             pass
58. 
59.         nop.Exception = xfail.Exception  # type: ignore[attr-defined]
60.         setattr(pytest, "xfail", nop)
61. 
62.     config.addinivalue_line(
63.         "markers",
64.         "skip(reason=None): skip the given test function with an optional reason. "
65.         'Example: skip(reason="no way of currently testing this") skips the '
66.         "test.",
67.     )
68.     config.addinivalue_line(
69.         "markers",
70.         "skipif(condition, ..., *, reason=...): "
71.         "skip the given test function if any of the conditions evaluate to True. "
72.         "Example: skipif(sys.platform == 'win32') skips the test if we are on the win32 platform. "
73.         "See https://docs.pytest.org/en/stable/reference.html#pytest-mark-skipif",
74.     )
75.     config.addinivalue_line(
76.         "markers",
77.         "xfail(condition, ..., *, reason=..., run=True, raises=None, strict=xfail_strict): "
78.         "mark the test function as an expected failure if any of the conditions "
79.         "evaluate to True. Optionally specify a reason for better reporting "
80.         "and run=False if you don't even want to execute the test function. "
81.         "If only specific exception(s) are expected, you can list them in "
82.         "raises, and if the test fails in other ways, it will be reported as "
83.         "a true failure. See https://docs.pytest.org/en/stable/reference.html#pytest-mark-xfail",
84.     )
85. 
86. 
87. def evaluate_condition(item: Item, mark: Mark, condition: object) -> Tuple[bool, str]:
88.     """Evaluate a single skipif/xfail condition.
89. 
90.     If an old-style string condition is given, it is eval()'d, otherwise the
91.     condition is bool()'d. If this fails, an appropriately formatted pytest.fail
92.     is raised.
93. 
94.     Returns (result, reason). The reason is only relevant if the result is True.
95.     """
96.     # String condition.
97.     if isinstance(condition, str):
98.         globals_ = {
99.             "os": os,
100.             "sys": sys,
101.             "platform": platform,
102.             "config": item.config,
103.         }
104.         if hasattr(item, "obj"):
105.             globals_.update(item.obj.__globals__)  # type: ignore[attr-defined]
106.         try:
107.             filename = "<{} condition>".format(mark.name)
108.             condition_code = compile(condition, filename, "eval")
109.             result = eval(condition_code, globals_)
110.         except SyntaxError as exc:
111.             msglines = [
112.                 "Error evaluating %r condition" % mark.name,
113.                 "    " + condition,
114.                 "    " + " " * (exc.offset or 0) + "^",
115.                 "SyntaxError: invalid syntax",
116.             ]
117.             fail("\n".join(msglines), pytrace=False)
118.         except Exception as exc:
119.             msglines = [
120.                 "Error evaluating %r condition" % mark.name,
121.                 "    " + condition,
122.                 *traceback.format_exception_only(type(exc), exc),
123.             ]
124.             fail("\n".join(msglines), pytrace=False)
125. 
126.     # Boolean condition.
127.     else:
128.         try:
129.             result = bool(condition)
130.         except Exception as exc:
131.             msglines = [
132.                 "Error evaluating %r condition as a boolean" % mark.name,
133.                 *traceback.format_exception_only(type(exc), exc),
134.             ]
135.             fail("\n".join(msglines), pytrace=False)
136. 
137.     reason = mark.kwargs.get("reason", None)
138.     if reason is None:
139.         if isinstance(condition, str):
140.             reason = "condition: " + condition
141.         else:
142.             # XXX better be checked at collection time
143.             msg = (
144.                 "Error evaluating %r: " % mark.name
145.                 + "you need to specify reason=STRING when using booleans as conditions."
146.             )
147.             fail(msg, pytrace=False)
148. 
149.     return result, reason
150. 
151. 
152. @attr.s(slots=True, frozen=True)
153. class Skip:
154.     """The result of evaluate_skip_marks()."""
155. 
156.     reason = attr.ib(type=str)
157. 
158. 
159. def evaluate_skip_marks(item: Item) -> Optional[Skip]:
160.     """Evaluate skip and skipif marks on item, returning Skip if triggered."""
161.     for mark in item.iter_markers(name="skipif"):
162.         if "condition" not in mark.kwargs:
163.             conditions = mark.args
164.         else:
165.             conditions = (mark.kwargs["condition"],)
166. 
167.         # Unconditional.
168.         if not conditions:
169.             reason = mark.kwargs.get("reason", "")
170.             return Skip(reason)
171. 
172.         # If any of the conditions are true.
173.         for condition in conditions:
174.             result, reason = evaluate_condition(item, mark, condition)
175.             if result:
176.                 return Skip(reason)
177. 
178.     for mark in item.iter_markers(name="skip"):
179.         if "reason" in mark.kwargs:
180.             reason = mark.kwargs["reason"]
181.         elif mark.args:
182.             reason = mark.args[0]
183.         else:
184.             reason = "unconditional skip"
185.         return Skip(reason)
186. 
187.     return None
188. 
189. 
190. @attr.s(slots=True, frozen=True)
191. class Xfail:
192.     """The result of evaluate_xfail_marks()."""
193. 
194.     reason = attr.ib(type=str)
195.     run = attr.ib(type=bool)
196.     strict = attr.ib(type=bool)
197.     raises = attr.ib(type=Optional[Tuple["Type[BaseException]", ...]])
198. 
199. 
200. def evaluate_xfail_marks(item: Item) -> Optional[Xfail]:
201.     """Evaluate xfail marks on item, returning Xfail if triggered."""
202.     for mark in item.iter_markers(name="xfail"):
203.         run = mark.kwargs.get("run", True)
204.         strict = mark.kwargs.get("strict", item.config.getini("xfail_strict"))
205.         raises = mark.kwargs.get("raises", None)
206.         if "condition" not in mark.kwargs:
207.             conditions = mark.args
208.         else:
209.             conditions = (mark.kwargs["condition"],)
210. 
211.         # Unconditional.
212.         if not conditions:
213.             reason = mark.kwargs.get("reason", "")
214.             return Xfail(reason, run, strict, raises)
215. 
216.         # If any of the conditions are true.
217.         for condition in conditions:
218.             result, reason = evaluate_condition(item, mark, condition)
219.             if result:
220.                 return Xfail(reason, run, strict, raises)
221. 
222.     return None
223. 
224. 
225. # Whether skipped due to skip or skipif marks.
226. skipped_by_mark_key = StoreKey[bool]()
227. # Saves the xfail mark evaluation. Can be refreshed during call if None.
228. xfailed_key = StoreKey[Optional[Xfail]]()
229. unexpectedsuccess_key = StoreKey[str]()
230. 
231. 
232. @hookimpl(tryfirst=True)
233. def pytest_runtest_setup(item: Item) -> None:
234.     item._store[skipped_by_mark_key] = False
235. 
236.     skipped = evaluate_skip_marks(item)
237.     if skipped:
238.         item._store[skipped_by_mark_key] = True
239.         skip(skipped.reason)
240. 
241.     if not item.config.option.runxfail:
242.         item._store[xfailed_key] = xfailed = evaluate_xfail_marks(item)
243.         if xfailed and not xfailed.run:
244.             xfail("[NOTRUN] " + xfailed.reason)
245. 
246. 
247. @hookimpl(hookwrapper=True)
248. def pytest_runtest_call(item: Item) -> Generator[None, None, None]:
249.     xfailed = item._store.get(xfailed_key, None)
250.     if xfailed is None:
251.         item._store[xfailed_key] = xfailed = evaluate_xfail_marks(item)
252. 
253.     if not item.config.option.runxfail:
254.         if xfailed and not xfailed.run:
255.             xfail("[NOTRUN] " + xfailed.reason)
256. 
257.     yield
258. 
259. 
260. @hookimpl(hookwrapper=True)
261. def pytest_runtest_makereport(item: Item, call: CallInfo[None]):
262.     outcome = yield
263.     rep = outcome.get_result()
264.     xfailed = item._store.get(xfailed_key, None)
265.     # unittest special case, see setting of unexpectedsuccess_key
266.     if unexpectedsuccess_key in item._store and rep.when == "call":
267.         reason = item._store[unexpectedsuccess_key]
268.         if reason:
269.             rep.longrepr = "Unexpected success: {}".format(reason)
270.         else:
271.             rep.longrepr = "Unexpected success"
272.         rep.outcome = "failed"
273.     elif item.config.option.runxfail:
274.         pass  # don't interfere
275.     elif call.excinfo and isinstance(call.excinfo.value, xfail.Exception):
276.         assert call.excinfo.value.msg is not None
277.         rep.wasxfail = "reason: " + call.excinfo.value.msg
278.         rep.outcome = "skipped"
279.     elif not rep.skipped and xfailed:
280.         if call.excinfo:
281.             raises = xfailed.raises
282.             if raises is not None and not isinstance(call.excinfo.value, raises):
283.                 rep.outcome = "failed"
284.             else:
285.                 rep.outcome = "skipped"
286.                 rep.wasxfail = xfailed.reason
287.         elif call.when == "call":
288.             if xfailed.strict:
289.                 rep.outcome = "failed"
290.                 rep.longrepr = "[XPASS(strict)] " + xfailed.reason
291.             else:
292.                 rep.outcome = "passed"
293.                 rep.wasxfail = xfailed.reason
294. 
295.     if (
296.         item._store.get(skipped_by_mark_key, True)
297.         and rep.skipped
298.         and type(rep.longrepr) is tuple
299.     ):
300.         # skipped by mark.skipif; change the location of the failure
301.         # to point to the item definition, otherwise it will display
302.         # the location of where the skip exception was raised within pytest
303.         _, _, reason = rep.longrepr
304.         filename, line = item.reportinfo()[:2]
305.         assert line is not None
306.         rep.longrepr = str(filename), line + 1, reason
307. 
308. 
309. def pytest_report_teststatus(report: BaseReport) -> Optional[Tuple[str, str, str]]:
310.     if hasattr(report, "wasxfail"):
311.         if report.skipped:
312.             return "xfailed", "x", "XFAIL"
313.         elif report.passed:
314.             return "xpassed", "X", "XPASS"
315.     return None

--- END CONTEXT ---

REMEMBER: Your task is to summarize the relevant contexts to the given query and return it in the specified format!

2025-12-21 02:44:46,147 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_extraction_node - DEBUG - Model response: context=[ContextOutput(reasoning="1. Query requirement analysis:\n   - The user query specifically asks for the full content of the file `src/_pytest/skipping.py`.\n\n2. Extended relevance:\n   - The purpose provided indicates that the entire file is essential for understanding how `xfail` markers are processed.\n   - To provide the 'full content', the entire file from the first line to the last line must be included.", relative_path='src/_pytest/skipping.py', start_line=1, end_line=315)]
2025-12-21 02:44:46,149 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.memory_storage_node - INFO - Storing 1 contexts to memory for query: Please provide the full content of src/_pytest/skipping.py.
2025-12-21 02:44:46,149 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.memory_storage_node - ERROR - Failed to store to memory: Athena memory client is not configured.
2025-12-21 02:44:46,149 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.memory_storage_node - INFO - Successfully stored contexts to memory
2025-12-21 02:44:46,149 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.add_result_context_node - INFO - Adding 1 new contexts to 0 existing contexts
2025-12-21 02:44:46,149 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.add_result_context_node - INFO - After deduplication: 1 total contexts (removed 0 duplicates)
2025-12-21 02:44:46,150 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_refine_node - DEBUG - This is the codebase structure:
--- BEGIN FILE TREE ---
pytest
├── .github
|   ├── FUNDING.yml
|   ├── ISSUE_TEMPLATE.md
|   ├── PULL_REQUEST_TEMPLATE.md
|   ├── config.yml
|   └── workflows
|       ├── main.yml
|       └── release-on-comment.yml
├── .pre-commit-config.yaml
├── .travis.yml
├── CHANGELOG.rst
├── CODE_OF_CONDUCT.md
├── CONTRIBUTING.rst
├── OPENCOLLECTIVE.rst
├── README.rst
├── RELEASING.rst
├── TIDELIFT.rst
├── bench
|   ├── bench.py
|   ├── bench_argcomplete.py
|   ├── empty.py
|   ├── manyparam.py
|   └── skip.py
├── changelog
|   ├── 7389.trivial.rst
|   ├── 7392.bugfix.rst
|   ├── 7464.feature.rst
|   ├── 7467.improvement.rst
|   ├── 7472.breaking.rst
|   ├── README.rst
|   └── _template.rst
├── codecov.yml
├── doc
|   └── en
|       ├── _templates
|       |   ├── globaltoc.html
|       |   ├── layout.html
|       |   ├── links.html
|       |   ├── relations.html
|       |   ├── sidebarintro.html
|       |   └── slim_searchbox.html
